2.0.0.0,2.255.255.255
5.0.0.0,5.255.255.255
25.0.0.0,25.255.255.255
31.0.0.0,31.255.255.255
37.0.0.0,37.255.255.255
46.0.0.0,46.255.255.255
51.0.0.0,51.255.255.255
53.0.0.0,53.255.255.255
57.0.0.0,57.255.255.255
62.0.0.0,62.255.255.255
77.0.0.0,77.255.255.255
78.0.0.0,78.255.255.255
79.0.0.0,79.255.255.255
80.0.0.0,80.255.255.255
81.0.0.0,81.255.255.255
82.0.0.0,82.255.255.255
83.0.0.0,83.255.255.255
84.0.0.0,84.255.255.255
85.0.0.0,85.255.255.255
86.0.0.0,86.255.255.255
87.0.0.0,87.255.255.255
88.0.0.0,88.255.255.255
89.0.0.0,89.255.255.255
90.0.0.0,90.255.255.255
91.0.0.0,91.255.255.255
92.0.0.0,92.255.255.255
93.0.0.0,93.255.255.255
94.0.0.0,94.255.255.255
95.0.0.0,95.255.255.255
109.0.0.0,109.255.255.255
141.0.0.0,141.255.255.255
145.0.0.0,145.255.255.255
151.0.0.0,151.255.255.255
176.0.0.0,176.255.255.255
178.0.0.0,178.255.255.255
185.0.0.0,185.255.255.255
188.0.0.0,188.255.255.255
193.0.0.0,193.255.255.255
194.0.0.0,194.255.255.255
195.0.0.0,195.255.255.255
212.0.0.0,212.255.255.255
213.0.0.0,213.255.255.255
217.0.0.0,217.255.255.255